# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.666667,0.001911,-0.000000,-0.000000,0.096964,-0.037445,-0.037879,0.032844,-0.006868,0.037435,0.000000,0.000000,2.845839,-6.012826,5.191232,-2.063120,0.312062,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,0.133364,0.156981,0.053574,-0.018638,0.000315,0.010056,-0.005797,0.000978,0.504842,0.274416,-0.160700,0.207666,0.122559,-0.415769,0.266821,-0.054009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,0.499987,0.273552,0.024487,-0.009726,0.001845,0.004909,-0.004070,0.000871,0.865678,0.183398,-0.031799,-0.404358,0.840421,-0.701818,0.263183,-0.036765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.000152,0.314351,-0.001914,-0.002647,-0.002166,0.002145,-0.001240,0.000260,0.997883,-0.013818,-0.005853,0.143590,-0.491233,0.501947,-0.216283,0.034026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.500070,0.271842,-0.025322,-0.002175,-0.002431,0.001608,-0.000536,0.000080,0.867880,-0.151782,-0.080363,-0.025319,0.215767,-0.256138,0.119791,-0.019988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.866026,0.156988,-0.042673,-0.001707,-0.001226,0.000933,-0.000177,-0.000000,0.498877,-0.272649,-0.002494,-0.008170,-0.068756,0.106398,-0.055786,0.010038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.999965,0.000103,-0.049017,-0.000431,0.000366,-0.000069,0.000212,-0.000069,0.000366,-0.315878,-0.009278,0.034472,-0.010621,-0.024308,0.021625,-0.004950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.865991,-0.156779,-0.042389,0.001072,0.001837,-0.001058,0.000553,-0.000122,-0.500145,-0.268037,0.026912,-0.045917,0.086661,-0.054939,0.012608,-0.000396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.499968,-0.271601,-0.024386,0.002136,0.002856,-0.001643,0.000664,-0.000129,-0.866460,-0.162305,0.050485,0.066188,-0.169205,0.157147,-0.063534,0.009443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,1.000001,-0.313633,-0.000034,0.002298,0.003582,-0.001408,0.000057,0.000042,-0.999392,0.001396,0.033471,-0.029153,0.187657,-0.255345,0.137012,-0.025960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,0.500067,-0.271933,0.023827,0.003609,0.003414,-0.002439,0.000220,0.000123,-0.865540,0.170971,0.040978,-0.195417,0.369000,-0.239191,0.049004,0.001271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.666667,0.133807,-0.157941,0.044446,0.012128,-0.010975,-0.012271,0.017615,-0.005157,-0.504547,0.256202,0.155190,0.501003,-2.523700,3.391021,-1.843834,0.354795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
