t,x,y,z,yaw
0.0,0.0,0,0.0,0
0.05,0.012491833338452829,0,0.00952308440176386,0
0.1,0.024832543481941416,0,0.019241207154291673,0
0.15000000000000002,0.0370190855448963,0,0.029151970456209764,0
0.2,0.04904845268041369,0,0.0392529289749709,0
0.25,0.060917676822152766,0,0.049541590450204565,0
0.30000000000000004,0.07262382941665935,0,0.0600154163086446,0
0.35000000000000003,0.08416402214594387,0,0.0706718222904833,0
0.4,0.09553540764013024,0,0.08150817908700048,0
0.45,0.10673518018000072,0,0.09252181298930362,0
0.5,0.1177605763892674,0,0.10371000654802842,0
0.55,0.12860887591639192,0,0.11506999924382655,0
0.6000000000000001,0.13927740210579287,0,0.1265989881684837,0
0.65,0.14976352265826953,0,0.13829412871649505,0
0.7000000000000001,0.16006465028048256,0,0.15015253528692774,0
0.75,0.1701782433233303,0,0.16217128199540198,0
0.8,0.18010180640906248,0,0.17434740339600796,0
0.8500000000000001,0.18983289104697731,0,0.1866778952129855,0
0.9,0.1993690962375494,0,0.19915971508198327,0
0.9500000000000001,0.2087080690648413,0,0.2117897833007184,0
1.0,0.2178475052770501,0,0.2245649835888457,0
1.05,0.22678514985504672,0,0.2374821638568534,0
1.1,0.23551879756876826,0,0.25053813698379435,0
1.1500000000000001,0.24404629352132623,0,0.2637296816036606,0
1.2000000000000002,0.25236553368069325,0,0.2770535429002058,0
1.25,0.2604744653988439,0,0.29050643341002447,0
1.3,0.2683710879182132,0,0.3040850338336834,0
1.35,0.2760534528653543,0,0.31778599385470935,0
1.4000000000000001,0.2835196647316699,0,0.33160593296622815,0
1.4500000000000002,0.29076788134110154,0,0.3455414413050567,0
1.5,0.29779631430465814,0,0.3595890804930338,0
1.55,0.30460322946167473,0,0.37374538448538924,0
1.6,0.31118694730769036,0,0.38800686042593835,0
1.6500000000000001,0.31754584340884084,0,0.4023699895088917,0
1.7000000000000002,0.3236783488026632,0,0.416831227847068,0
1.75,0.32958295038521446,0,0.43138700734629554,0
1.8,0.33525819128440637,0,0.4460337365857858,0
1.85,0.3407026712194676,0,0.4607678017042629,0
1.9000000000000001,0.3459150468464417,0,0.4755855672916291,0
1.9500000000000002,0.350894032089637,0,0.4904833772859485,0
2.0,0.35563839845894696,0,0.5054575558755259,0
2.0500000000000003,0.3601469753529616,0,0.5205044084058581,0
2.1,0.3644186503477954,0,0.5356202222912336,0
2.15,0.368452369471562,0,0.5508012679307595,0
2.2,0.3722471374644254,0,0.5660437996285825,0
2.25,0.37580201802416546,0,0.5813440565180854,0
2.3000000000000003,0.37911613403719724,0,0.5966982634898235,0
2.35,0.3821886677949845,0,0.6121026321229763,0
2.4000000000000004,0.38501886119579787,0,0.6275533616200841,0
2.45,0.3876060159317648,0,0.6430466397448377,0
2.5,0.3899494936611666,0,0.6585786437626905,0
2.5500000000000003,0.3920487161659396,0,0.6741455413840618,0
2.6,0.39390316549434246,0,0.689743491709896,0
2.6500000000000004,0.3955123840887518,0,0.7053686461793474,0
2.7,0.39687597489855875,0,0.7210171495193544,0
2.75,0.397993601478135,0,0.7366851406958717,0
2.8000000000000003,0.39886498806984527,0,0.7523687538665217,0
2.85,0.3994899196720869,0,0.7680641193344337,0
2.9000000000000004,0.3998682420923382,0,0.7837673645030332,0
2.95,0.3999998619852029,0,0.7994746148315471,0
3.0,0.39988474687544184,0,0.81518199479099,0
3.0500000000000003,0.39952292516598586,0,0.8308856288203911,0
3.1,0.39891448613092784,0,0.8465816422830327,0
3.1500000000000004,0.3980595798934953,0,0.8622661624224569,0
3.2,0.39695841738901005,0,0.8779353193180118,0
3.25,0.39561127031284316,0,0.8935852468396962,0
3.3000000000000003,0.39401847105337773,0,0.9092120836020693,0
3.35,0.3921804126099976,0,0.9248119739169888,0
3.4000000000000004,0.39009754849612,0,0.9403810687449461,0
3.45,0.38777039262729873,0,0.9559155266447574,0
3.5,0.3851995191944224,0,0.9714115147213833,0
3.5500000000000003,0.3823855625220416,0,0.9868652095716374,0
3.6,0.3793292169118593,0,1.0022727982275537,0
3.6500000000000004,0.37603123647142156,0,1.0176304790971802,0
3.7,0.3724924349280533,0,1.0329344629025643,0
3.75,0.36871368542808325,0,1.0481809736147003,0
3.8000000000000003,0.36469592032140785,0,1.0633662493852085,0
3.85,0.3604401309314481,0,1.0784865434745148,0
3.9000000000000004,0.3559473673105552,0,1.0935381251763021,0
3.95,0.35121873798092595,0,1.1085172807380077,0
4.0,0.34625540966109136,0,1.1234203142771342,0
4.05,0.3410586069780466,0,1.1382435486931548,0
4.1000000000000005,0.3356296121650919,0,1.1529833265747826,0
4.15,0.32996976474546225,0,1.1676360111023805,0
4.2,0.32408046120181777,0,1.182197986945295,0
4.25,0.31796315463168456,0,1.1966656611538817,0
4.3,0.3116193543889234,0,1.2110354640460146,0
4.3500000000000005,0.30505062571132,0,1.2253038500878497,0
4.4,0.29825858933438576,0,1.2394672987686335,0
4.45,0.2912449210914648,0,1.2535223154693367,0
4.5,0.2840113515002488,0,1.267465432324898,0
4.55,0.2765596653357957,0,1.2812932090798685,0
4.6000000000000005,0.2688917011901648,0,1.2950022339372433,0
4.65,0.261009351018771,0,1.3085891244002714,0
4.7,0.25291455967357257,0,1.3220505281070367,0
4.75,0.24460932442320937,0,1.3353831236576008,0
4.800000000000001,0.23609569446020517,0,1.3485836214335125,0
4.8500000000000005,0.2273757703953616,0,1.361648764409468,0
4.9,0.2184517037394622,0,1.3745753289569365,0
4.95,0.20932569637242093,0,1.3873601256395398,0
5.0,0.20000000000000007,0,1.4,0
