# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.833333,0.101289,-0.000000,0.000000,10.249368,-17.259369,2.454964,11.062261,-5.633283,0.063809,-0.000000,0.000000,6.395525,-10.846690,1.549791,6.955095,-3.545233,-0.004794,0.000000,-0.000000,-0.436610,0.121815,0.191976,0.062160,-0.127393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,0.828431,0.788200,0.396804,2.718546,-6.932431,2.435816,4.363005,-2.782060,0.496737,0.412429,0.154965,1.661627,-4.364332,1.547851,2.756504,-1.763051,-0.136300,-0.313480,-0.098458,-0.128192,0.027373,0.070744,0.036327,-0.052182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,1.654509,0.937703,0.486290,0.065578,-2.029457,1.149312,1.554206,-1.159880,0.858078,0.275652,0.142628,0.008506,-1.283782,0.738603,0.992011,-0.742696,-0.500859,-0.545434,-0.073090,-0.005990,0.006304,0.016899,0.009104,-0.011785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,2.491549,0.986799,0.299358,-0.306904,-0.620472,0.562201,0.609399,-0.525767,0.994428,-0.008753,-0.002799,-0.195827,-0.398026,0.361200,0.394100,-0.337892,-1.000018,-0.630062,0.002398,0.038834,0.014503,-0.010161,-0.013519,0.010432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,3.328228,1.002556,0.171368,-0.292090,-0.180777,0.308047,0.265363,-0.270891,0.862757,-0.313633,-0.061306,-0.156134,-0.120325,0.193449,0.173270,-0.172341,-1.499637,-0.544233,0.091356,0.036224,0.025287,-0.015183,-0.022049,0.014986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,4.163549,1.008779,0.103994,-0.256478,-0.013221,0.201176,0.123315,-0.164805,0.498113,-0.539380,-0.034563,-0.117309,-0.012498,0.123939,0.081971,-0.104930,-1.865869,-0.312617,0.166388,0.012825,0.021713,-0.011706,-0.017724,0.012290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,4.997767,1.013251,0.073097,-0.257960,0.085181,0.159021,0.046322,-0.116301,-0.001310,-0.619789,0.044747,-0.120633,0.051361,0.101445,0.035242,-0.078500,-2.000153,-0.000477,0.196683,0.006207,0.003873,-0.017709,-0.013906,0.016290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,5.831663,1.017334,0.056945,-0.296612,0.200909,0.136796,-0.037531,-0.075261,-0.501105,-0.532077,0.136669,-0.162055,0.123202,0.094142,-0.013423,-0.058287,-1.865733,0.311181,0.162740,0.010144,-0.008189,-0.022132,-0.012172,0.017787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,6.665627,1.022288,0.037532,-0.381639,0.435614,0.090631,-0.221106,0.019387,-0.866890,-0.298731,0.200660,-0.236807,0.266166,0.068705,-0.125702,-0.001061,-1.499487,0.543574,0.087965,-0.011499,-0.012960,-0.007854,0.000121,0.004693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,7.500603,1.028965,-0.012843,-0.532078,1.016411,-0.105679,-0.743484,0.348666,-0.999950,0.018556,0.197006,-0.345266,0.624586,-0.059173,-0.455649,0.210899,-1.000132,0.628584,0.000251,-0.028624,-0.025284,0.003394,0.014327,-0.005064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,8.337252,1.021685,-0.155225,-0.597973,2.411873,-1.018660,-2.295101,1.620390,-0.863794,0.326431,0.077642,-0.388218,1.496051,-0.644265,-1.436964,1.020439,-0.500146,0.541700,-0.096116,-0.008986,-0.037366,-0.003344,0.016228,0.001249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.833333,9.172165,0.908539,-0.422835,1.154243,3.486434,-4.874493,-5.080429,5.684043,-0.496404,0.483934,-0.170522,0.716878,2.168067,-3.073413,-3.189593,3.578860,-0.134258,0.310284,-0.165698,0.052136,-0.073023,-0.078553,-0.012205,0.104568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
