# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.333333,-0.010492,0.000000,0.000000,-0.138212,0.165500,-0.077994,0.016761,-0.001362,0.001940,0.000000,-0.000000,0.026983,-0.010613,-0.000359,0.000833,-0.000114,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-0.031163,0.070801,0.030275,-0.068522,0.079189,-0.039174,0.008756,-0.000734,0.164453,0.067058,-0.013862,-0.030304,0.038162,-0.020389,0.004811,-0.000418,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,0.311199,0.105559,-0.017386,-0.053195,0.058698,-0.028825,0.006447,-0.000540,0.118863,-0.105950,-0.030573,-0.031018,0.045952,-0.023648,0.005477,-0.000472,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,0.259249,-0.146266,-0.038816,-0.030586,0.043983,-0.022216,0.005122,-0.000442,-0.427327,-0.143793,0.026494,-0.028963,0.046276,-0.023841,0.005440,-0.000464,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-0.497713,-0.215193,0.028529,-0.026564,0.047214,-0.024779,0.005714,-0.000491,-0.443386,0.180971,0.054250,-0.037167,0.043394,-0.022793,0.005255,-0.000450,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-0.657725,0.180995,0.069905,-0.040061,0.048148,-0.025531,0.005913,-0.000509,0.511889,0.311824,-0.028375,-0.045266,0.045665,-0.023196,0.005339,-0.000457,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,0.461441,0.400349,-0.022932,-0.053013,0.055607,-0.029085,0.006797,-0.000587,0.887370,-0.141439,-0.087049,-0.032113,0.047443,-0.024282,0.005686,-0.000495,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,1.115072,-0.085271,-0.100524,-0.043125,0.051663,-0.023584,0.005047,-0.000408,-0.341669,-0.470255,0.009328,-0.026562,0.051863,-0.025486,0.005572,-0.000458,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-0.154310,-0.556081,-0.004644,-0.000473,0.023578,-0.013332,0.003342,-0.000312,-1.325331,0.018047,0.122342,-0.018562,0.019801,-0.010058,0.002225,-0.000189,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-1.494971,-0.083647,0.117183,-0.040054,0.081281,-0.050020,0.012758,-0.001181,-0.098325,0.622063,0.021596,-0.039138,0.047708,-0.031696,0.008605,-0.000830,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,-0.405499,0.686319,0.027374,-0.167622,0.257254,-0.153061,0.038944,-0.003607,1.620316,0.240417,-0.166631,-0.137373,0.236196,-0.141173,0.036176,-0.003367,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
3.333333,1.680160,0.438258,-0.237085,-0.480851,0.857121,-0.520600,0.134120,-0.012457,0.777393,-0.603771,-0.181001,-0.423660,0.816506,-0.500510,0.130072,-0.012210,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
