# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.875000,-0.034221,0.000000,0.000000,-0.026270,-0.011574,0.002988,0.005635,-0.001242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.283831,-0.000000,0.000000,0.138663,0.007585,-0.069193,0.007725,0.003659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,-0.137568,0.008033,0.245126,0.197439,-0.009671,-0.150105,0.067969,-0.009116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321886,-0.426524,-0.408334,0.364128,0.210492,-0.215653,0.062932,-0.006811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.653309,0.156457,-0.578251,-0.134954,0.136210,0.008752,-0.012674,0.001556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270441,0.784460,0.216980,-0.288530,-0.086564,0.077135,-0.014499,0.000962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,-0.513460,-0.592044,0.520154,0.196384,-0.136889,-0.001536,0.005669,-0.000224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.768235,-0.683944,-0.367113,0.278790,0.042682,-0.003812,-0.018739,0.004198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.000236,0.445581,-0.421985,-0.233855,0.106349,0.020761,-0.009892,0.000677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000112,0.440819,0.418951,-0.189631,-0.155040,0.071438,-0.004388,-0.001032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,-0.768434,-0.685545,0.370207,0.282602,-0.098497,-0.018709,0.006497,-0.000148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513809,-0.585461,-0.524876,0.134081,0.217345,-0.111641,0.021500,-0.001744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,-0.270212,0.788255,-0.218804,-0.321504,0.104545,-0.006055,0.007415,-0.002076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.654131,0.151017,0.592101,-0.080617,-0.239505,0.125367,-0.031191,0.003763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,-0.375882,-0.641187,0.143204,0.329187,-0.090869,0.028063,-0.023992,0.005160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075625,-0.238786,-0.600628,0.046429,0.232334,-0.128837,0.042186,-0.006650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.000427,0.939557,-0.008745,-0.296513,-0.006456,0.014093,0.018393,-0.005485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000548,0.005612,0.653189,-0.055757,-0.091326,0.020851,-0.012942,0.004205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.375934,-0.630685,-0.143188,0.202657,0.294248,-0.275325,0.089631,-0.011144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073471,0.226937,-0.565512,0.105009,-0.309476,0.400060,-0.166083,0.023525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.268929,0.786969,0.248522,-0.273945,-0.352016,0.456033,-0.213549,0.036975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.650797,-0.160891,0.526287,0.129576,0.242811,-0.567907,0.309900,-0.055682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.875000,0.763195,-0.716792,-0.253644,0.959674,-2.354837,2.647067,-1.239346,0.205084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.521295,0.639880,-0.702837,-1.246160,3.981835,-4.368841,2.063451,-0.351059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
