# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.333333,-0.084332,-0.000000,-0.000000,-7.695931,7.946474,3.294074,-0.044930,-0.985158,0.022892,0.000000,-0.000000,1.301835,-0.914730,-0.765017,-0.394773,-0.168061,0.076281,-0.000000,0.000000,5.647353,-6.591091,-2.448914,0.308895,0.999984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-0.258218,-1.195286,-1.271711,6.100483,-5.641966,-1.832046,0.067236,0.540430,0.056049,0.239845,0.321046,-1.132867,0.479329,0.555676,0.377555,0.212628,0.194873,0.772054,0.489908,-5.200881,4.872980,1.575561,-0.055109,-0.460630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-0.648858,-0.951686,0.448080,-3.174421,3.000144,1.129708,0.115754,-0.185402,0.138530,0.192930,-0.198170,0.495203,-0.056189,-0.266144,-0.233575,-0.151433,0.380392,0.178429,-0.928791,2.807190,-2.482394,-0.965753,-0.130763,0.127049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-0.992109,-1.195827,-0.302421,2.086634,-1.648776,-0.846691,-0.274695,-0.037376,0.196983,0.193910,0.104660,-0.113884,-0.119505,0.064720,0.097210,0.074859,0.405897,0.065579,-0.147453,-1.617691,1.319493,0.668079,0.209504,0.022512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.371271,-1.005566,0.317341,-1.272128,1.004005,0.693353,0.336791,0.136310,0.267989,0.215131,-0.040453,-0.096959,0.156522,0.057649,0.007650,-0.007519,0.370795,-0.329844,-0.597303,1.048858,-0.719110,-0.491848,-0.235873,-0.093799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.702543,-1.016882,0.045495,1.145312,-0.590098,-0.626352,-0.404345,-0.217622,0.333791,0.182707,-0.010946,0.178209,-0.109213,-0.100755,-0.063488,-0.034171,0.222058,-0.522047,-0.261804,-0.671704,0.473049,0.425601,0.249884,0.123834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.004546,-0.742940,0.471741,-0.730981,0.315166,0.499387,0.376084,0.225289,0.398211,0.210517,0.042427,-0.141153,0.020649,0.072629,0.063677,0.041569,0.002066,-0.816772,-0.403535,0.670526,-0.264660,-0.383552,-0.281032,-0.165442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.220286,-0.583140,0.224943,0.620043,-0.094414,-0.392548,-0.342416,-0.221087,0.468530,0.201265,-0.042676,0.032208,0.051453,-0.006367,-0.021960,-0.019169,-0.295501,-0.933700,-0.117846,-0.388182,0.153405,0.323235,0.259765,0.161326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.370060,-0.275293,0.554139,-0.291179,-0.098214,0.213672,0.238050,0.170345,0.532640,0.190054,0.015753,0.069188,-0.068701,-0.046336,-0.023795,-0.010650,-0.630551,-1.091015,-0.221995,0.437635,0.041362,-0.230708,-0.234826,-0.162489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.410966,0.003226,0.335426,0.065221,0.205688,-0.066271,-0.127913,-0.103928,0.599228,0.209891,0.016652,-0.096125,0.029063,0.052019,0.041539,0.025984,-1.003516,-1.108605,0.100239,-0.007715,-0.150158,0.070093,0.116550,0.092703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.368162,0.270809,0.480558,0.126180,-0.306547,-0.103407,0.001120,0.029042,0.668123,0.197743,-0.030893,0.042422,0.026210,-0.013490,-0.021288,-0.016752,-1.363562,-1.058502,0.047974,-0.003653,0.261004,0.059580,-0.025472,-0.039949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-2.224019,0.581750,0.366792,-0.384068,0.272138,0.214421,0.120198,0.057847,0.732407,0.193652,0.018616,0.039372,-0.052837,-0.031654,-0.014456,-0.005568,-1.707786,-0.986404,0.232220,0.374421,-0.251719,-0.196032,-0.106264,-0.048867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.999139,0.755331,0.270823,0.331059,-0.240690,-0.276128,-0.188281,-0.106063,0.799680,0.208995,0.007881,-0.079363,0.029857,0.046026,0.035606,0.021923,-2.001000,-0.759269,0.342323,-0.278847,0.197009,0.223767,0.154385,0.088189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.709424,0.987863,0.295120,-0.481966,0.071728,0.265220,0.234525,0.153621,0.867898,0.196148,-0.026042,0.047435,0.018763,-0.017890,-0.023465,-0.017727,-2.222777,-0.576345,0.313903,0.384927,-0.096673,-0.241293,-0.200562,-0.126952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.362826,1.058218,0.015908,0.148460,0.050877,-0.168248,-0.181464,-0.129022,0.932262,0.195525,0.021399,0.027534,-0.053191,-0.027638,-0.010282,-0.002600,-2.368277,-0.274155,0.496901,-0.215493,-0.038863,0.165620,0.177094,0.125948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-1.003193,1.109743,0.091218,-0.160813,-0.237092,0.048460,0.126514,0.108637,1.000048,0.209103,0.001107,-0.082836,0.042963,0.054663,0.039966,0.023821,-2.411929,-0.004670,0.360520,0.102315,0.148894,-0.092860,-0.140597,-0.110166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-0.631604,1.088984,-0.176891,-0.282435,0.332195,0.127012,0.008709,-0.027059,1.067625,0.193184,-0.023382,0.075082,0.005173,-0.039484,-0.040673,-0.028566,-2.368426,0.281578,0.492148,0.045914,-0.322550,-0.055598,0.059178,0.073316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,-0.294101,0.933921,-0.191547,0.296375,-0.432314,-0.260118,-0.106127,-0.030640,1.132035,0.199674,0.030524,-0.004363,-0.064577,-0.013356,0.007919,0.011169,-2.222279,0.575929,0.319731,-0.370413,0.434680,0.230573,0.075306,0.008697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
